site_name,survey_id,year,depth,visibility,count,family,genus,species,common_name
New Providence,3250,2016,21.8,6,2,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
New Providence,3259,2016,22.7,6,1,Sphyrnidae,Sphyrna,mokarran,Great hammerhead shark
New Providence,3259,2016,22.7,10,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
New Providence,3220,2016,23.5,10,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
New Providence,3220,2016,23.5,10,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
New Providence,3265,2016,23.7,10,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
New Providence,3255,2016,24,10,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
New Providence,3262,2016,24,10,2,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
New Providence,3284,2016,24.6,10,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
New Providence,3284,2016,24.6,10,3,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
New Providence,3240,2016,25.2,10,1,Dasyatidae,Hypanus,americanus,Southern stingray
New Providence,3275,2016,27,10,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
New Providence,3225,2016,27.9,10,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
New Providence,3225,2016,27.9,10,1,Carcharhinidae,Unknown,sp.,Requiem Shark
New Providence,3279,2016,28,10,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
New Providence,3279,2016,28,10,1,Dasyatidae,Hypanus,americanus,Southern stingray
New Providence,3281,2016,29.9,10,1,Carcharhinidae,Unknown,sp.,Requiem Shark
New Providence,3281,2016,29.9,10,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Bimini,22294,2016,13.47,15,2,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22297,2016,14.11,15,2,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Bimini,22297,2016,14.11,15,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22293,2016,14.69,15,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
